epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,473.809,4.07882,11.3632,4.22526,0,0,0,0,4.66535,5.406,4.09806,0.00332394,0.00332394,0.00332394
2,1023.76,3.77694,10.4749,4.04676,2e-05,0.00637,1e-05,0,4.23758,7.14659,3.80707,0.00662432,0.00662432,0.00662432
3,1527.88,3.60211,9.58185,3.65155,0.62002,0.00024,1e-05,0,4.11764,10.4766,3.86392,0.0098917,0.0098917,0.0098917
4,2052.56,3.37776,8.23656,3.11126,0.56075,0.00838,0.00039,0.00013,3.51394,5.0828,2.88302,0.0098515,0.0098515,0.0098515
5,2543.23,2.66544,5.96328,2.32874,0.43976,0.03001,0.03157,0.0158,2.36339,4.04472,2.08204,0.009802,0.009802,0.009802
6,3053.59,1.95544,3.92264,1.67232,0.37444,0.1715,0.1235,0.07888,1.81866,3.22281,1.55313,0.0097525,0.0097525,0.0097525
7,3559.49,1.69936,3.23134,1.4791,0.3971,0.23571,0.18192,0.11035,1.64612,2.64163,1.44848,0.009703,0.009703,0.009703
8,4041.69,1.53814,2.78282,1.37854,0.52335,0.22864,0.20851,0.14115,1.43101,2.44091,1.35684,0.0096535,0.0096535,0.0096535
9,4517.19,1.43219,2.51117,1.31955,0.61095,0.19097,0.21724,0.14825,1.38779,2.20796,1.30185,0.009604,0.009604,0.009604
10,5004.2,1.36506,2.33295,1.25815,0.65362,0.24864,0.2559,0.17068,1.3117,2.08134,1.27126,0.0095545,0.0095545,0.0095545
11,5485.86,1.31344,2.19995,1.23382,0.63742,0.25152,0.28198,0.19644,1.26564,2.07875,1.23597,0.009505,0.009505,0.009505
12,5972.16,1.27056,2.10822,1.20789,0.75493,0.26981,0.31308,0.22933,1.20091,1.77604,1.21546,0.0094555,0.0094555,0.0094555
13,6506.06,1.23656,2.01623,1.18058,0.41777,0.36007,0.32465,0.23742,1.19899,1.78293,1.17866,0.009406,0.009406,0.009406
14,6986.01,1.19336,1.91545,1.16689,0.52813,0.33811,0.33746,0.23667,1.15824,1.76604,1.18037,0.0093565,0.0093565,0.0093565
15,7480.42,1.17311,1.87732,1.15185,0.5389,0.35797,0.3691,0.27117,1.07518,1.63444,1.1295,0.009307,0.009307,0.009307
16,7990.42,1.15409,1.79309,1.13162,0.58545,0.36144,0.39989,0.30219,1.06518,1.59727,1.13233,0.0092575,0.0092575,0.0092575
17,8497.57,1.12161,1.73279,1.11748,0.62505,0.36524,0.4139,0.30203,1.08344,1.63647,1.1251,0.009208,0.009208,0.009208
18,8998.17,1.10487,1.689,1.10978,0.63917,0.39805,0.43085,0.32066,1.04926,1.51101,1.1074,0.0091585,0.0091585,0.0091585
19,9469.92,1.09082,1.63415,1.09422,0.65527,0.35272,0.41661,0.31165,1.00731,1.44325,1.09726,0.009109,0.009109,0.009109
20,9947.17,1.06258,1.5769,1.08521,0.63727,0.43138,0.45082,0.33928,1.01192,1.42503,1.07716,0.0090595,0.0090595,0.0090595
21,10446.4,1.06651,1.58566,1.08813,0.72331,0.40877,0.45994,0.34994,0.99301,1.38079,1.07683,0.00901,0.00901,0.00901
22,10940,1.04825,1.52318,1.07516,0.67153,0.39663,0.4692,0.35611,0.99039,1.33933,1.07212,0.0089605,0.0089605,0.0089605
23,11433.9,1.03398,1.45808,1.07156,0.71565,0.42475,0.46763,0.36127,0.99125,1.31811,1.06474,0.008911,0.008911,0.008911
24,11931,1.03025,1.44345,1.0729,0.6912,0.4379,0.48617,0.37687,0.95057,1.31604,1.05504,0.0088615,0.0088615,0.0088615
25,12438,1.01144,1.40768,1.06203,0.60601,0.48135,0.50598,0.38664,0.95025,1.25261,1.04962,0.008812,0.008812,0.008812
26,12961.6,0.99446,1.38349,1.04778,0.55996,0.48712,0.49445,0.38327,0.93763,1.24588,1.04852,0.0087625,0.0087625,0.0087625
27,13432.6,1.00764,1.36402,1.05005,0.63775,0.48516,0.51644,0.4043,0.9217,1.195,1.03474,0.008713,0.008713,0.008713
28,13937.3,0.99797,1.34786,1.0454,0.67042,0.45871,0.50989,0.39346,0.91484,1.18373,1.03485,0.0086635,0.0086635,0.0086635
29,14419.5,0.97564,1.29847,1.04219,0.67901,0.5365,0.53723,0.41509,0.93508,1.14797,1.04143,0.008614,0.008614,0.008614
30,14901.9,0.97562,1.30617,1.03609,0.60157,0.51109,0.55504,0.42246,0.9354,1.17095,1.03905,0.0085645,0.0085645,0.0085645
31,15381.2,0.97579,1.28695,1.03517,0.74458,0.47792,0.52937,0.40369,0.90329,1.15437,1.03438,0.008515,0.008515,0.008515
32,15868.3,0.96686,1.27103,1.0286,0.577,0.56045,0.55615,0.43858,0.89676,1.11638,1.01927,0.0084655,0.0084655,0.0084655
33,16352.9,0.96789,1.24948,1.03391,0.64469,0.54318,0.56405,0.43764,0.89787,1.08508,1.02253,0.008416,0.008416,0.008416
34,16851.4,0.9549,1.22358,1.03385,0.69923,0.53633,0.56122,0.44393,0.90828,1.10473,1.03256,0.0083665,0.0083665,0.0083665
35,17348.1,0.95089,1.2135,1.01917,0.72674,0.55156,0.60068,0.47035,0.88767,1.02912,1.01456,0.008317,0.008317,0.008317
36,17831.2,0.9481,1.1902,1.01683,0.75674,0.53199,0.58792,0.46013,0.87805,0.99921,1.01256,0.0082675,0.0082675,0.0082675
37,18325.1,0.94628,1.19034,1.02293,0.71493,0.55435,0.60714,0.46985,0.88857,1.02447,1.02358,0.008218,0.008218,0.008218
38,18816.4,0.93164,1.15893,1.01661,0.66496,0.58994,0.61454,0.48413,0.87676,0.99771,1.00569,0.0081685,0.0081685,0.0081685
39,19290.5,0.92401,1.15835,1.0156,0.74231,0.5458,0.64132,0.49688,0.87469,0.99048,1.00546,0.008119,0.008119,0.008119
40,19769,0.92747,1.14934,1.01421,0.76903,0.5725,0.62921,0.49621,0.86874,0.95532,1.00159,0.0080695,0.0080695,0.0080695
41,20225.8,0.91229,1.10927,1.00645,0.79283,0.55356,0.63042,0.49885,0.85734,0.93389,0.99971,0.00802,0.00802,0.00802
42,20714.1,0.92045,1.11526,1.01334,0.74946,0.57971,0.63304,0.49663,0.85366,0.95609,0.99561,0.0079705,0.0079705,0.0079705
43,21197.1,0.91388,1.08437,1.00265,0.70466,0.61107,0.65205,0.52104,0.85141,0.94326,0.99612,0.007921,0.007921,0.007921
44,21686.6,0.91154,1.08471,1.00839,0.74372,0.59701,0.6487,0.51258,0.85167,0.93504,0.98937,0.0078715,0.0078715,0.0078715
45,22178.1,0.9181,1.06232,1.00845,0.72787,0.61712,0.6702,0.53434,0.84304,0.9365,0.98941,0.007822,0.007822,0.007822
46,22671,0.90713,1.03613,1.01054,0.74337,0.60825,0.66507,0.53147,0.84606,0.91488,0.99182,0.0077725,0.0077725,0.0077725
47,23167.8,0.9003,1.03062,0.99905,0.83856,0.60913,0.69957,0.55608,0.84929,0.90682,0.99306,0.007723,0.007723,0.007723
48,23646.6,0.89619,1.04262,0.99901,0.77545,0.61817,0.70506,0.543,0.85182,0.86976,0.99463,0.0076735,0.0076735,0.0076735
49,24112.8,0.89048,1.01262,0.9979,0.80256,0.59279,0.68909,0.5481,0.84328,0.86409,0.98989,0.007624,0.007624,0.007624
50,24595.4,0.89018,0.99976,0.99488,0.72545,0.63646,0.67974,0.53893,0.83373,0.88386,0.9887,0.0075745,0.0075745,0.0075745
51,25075.5,0.88559,0.99034,0.99727,0.83015,0.6345,0.70144,0.55795,0.82958,0.83064,0.98448,0.007525,0.007525,0.007525
52,25559.1,0.89299,0.98886,0.9935,0.85926,0.60987,0.72095,0.56899,0.83031,0.84647,0.97889,0.0074755,0.0074755,0.0074755
53,26015,0.877,0.97495,0.9895,0.81253,0.62988,0.70094,0.55677,0.83769,0.85185,0.98279,0.007426,0.007426,0.007426
54,26503.4,0.8816,0.94633,0.99694,0.80762,0.63802,0.7172,0.57422,0.82382,0.88722,0.97983,0.0073765,0.0073765,0.0073765
55,26985.2,0.87434,0.95018,0.99352,0.73019,0.65573,0.7274,0.58204,0.82515,0.81911,0.97952,0.007327,0.007327,0.007327
56,27492,0.87382,0.9297,0.98326,0.75648,0.67771,0.74077,0.58427,0.83406,0.81858,0.98432,0.0072775,0.0072775,0.0072775
57,27957.6,0.86798,0.9462,0.98416,0.80991,0.66426,0.72435,0.57944,0.81536,0.7946,0.97108,0.007228,0.007228,0.007228
58,28463.4,0.87138,0.93858,0.98965,0.85274,0.6407,0.73612,0.59177,0.81447,0.78887,0.9707,0.0071785,0.0071785,0.0071785
59,28923.4,0.86528,0.93062,0.98834,0.84942,0.64999,0.73145,0.59096,0.80941,0.80341,0.97402,0.007129,0.007129,0.007129
60,29433.5,0.86134,0.90797,0.98071,0.86065,0.63218,0.71503,0.57298,0.81306,0.78774,0.97202,0.0070795,0.0070795,0.0070795
61,29912,0.85247,0.8942,0.98393,0.8675,0.65316,0.74592,0.60228,0.80955,0.80185,0.9662,0.00703,0.00703,0.00703
62,30413.2,0.86398,0.90608,0.98049,0.81021,0.67327,0.73621,0.59319,0.81115,0.78496,0.96856,0.0069805,0.0069805,0.0069805
63,30964.1,0.85412,0.87916,0.97803,0.85589,0.64586,0.73268,0.5882,0.81158,0.77542,0.97062,0.006931,0.006931,0.006931
