epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,466.873,4.07882,11.3632,4.22526,0,0,0,0,4.66535,5.406,4.09806,0.00332394,0.00332394,0.00332394
2,998.015,3.74457,10.4752,4.04999,0.00011,0.00128,6e-05,1e-05,4.19454,5.43145,3.68134,0.0066441,0.0066441,0.0066441
3,1470.74,3.47751,9.22135,3.47075,0.92423,0.00108,0.00164,0.00051,3.53507,8.18104,3.10797,0.00995105,0.00995105,0.00995105
4,1966.77,3.06804,7.35803,2.80747,0.46682,0.03756,0.01852,0.00785,2.61314,4.0103,2.28831,0.0099406,0.0099406,0.0099406
5,2444.27,2.28304,5.01722,2.01264,0.50054,0.17563,0.10991,0.05877,1.93561,3.75223,1.69969,0.0099208,0.0099208,0.0099208
6,2927.77,1.82197,3.5872,1.59268,0.28459,0.24101,0.15448,0.10138,1.61041,3.47943,1.46734,0.009901,0.009901,0.009901
7,3410.2,1.62636,2.99261,1.42868,0.57384,0.26675,0.22409,0.14563,1.51047,2.99496,1.3841,0.0098812,0.0098812,0.0098812
8,3869.97,1.49595,2.62938,1.34673,0.57962,0.20604,0.2266,0.16203,1.43177,2.33348,1.31933,0.0098614,0.0098614,0.0098614
9,4320.64,1.40219,2.42472,1.29342,0.61534,0.24102,0.25977,0.19,1.32816,2.05893,1.25554,0.0098416,0.0098416,0.0098416
10,4792.19,1.35858,2.26344,1.24959,0.56669,0.32274,0.29679,0.209,1.2542,1.90022,1.21386,0.0098218,0.0098218,0.0098218
11,5267,1.31318,2.13631,1.22782,0.5921,0.27325,0.31987,0.23087,1.21598,1.83174,1.19367,0.009802,0.009802,0.009802
12,5706.38,1.27506,2.05447,1.19892,0.58082,0.30878,0.31275,0.22121,1.28894,1.84223,1.21627,0.0097822,0.0097822,0.0097822
13,6136.42,1.2539,1.99828,1.1826,0.52568,0.3805,0.36302,0.26359,1.18789,1.72985,1.16447,0.0097624,0.0097624,0.0097624
14,6576.25,1.20169,1.89986,1.16103,0.55097,0.375,0.36953,0.27012,1.10232,1.6048,1.13338,0.0097426,0.0097426,0.0097426
