epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,283.716,2.88296,5.52881,2.57783,0.43068,0.10709,0.06848,0.03384,2.19846,4.78882,2.15335,0.000199718,0.000199718,0.0802279
2,488.118,1.88533,3.3849,1.85013,0.40524,0.23522,0.20523,0.10367,1.71973,2.82172,1.73885,0.000399694,0.000399694,0.0604279
3,688.279,1.59732,2.73505,1.60532,0.39922,0.28228,0.25478,0.13943,1.66472,2.36271,1.65939,0.000599571,0.000599571,0.0406278
4,885.584,1.484,2.47383,1.50623,0.40566,0.33018,0.31618,0.18675,1.48638,2.32675,1.51018,0.000799278,0.000799278,0.0208275
5,1081.33,1.38955,2.22305,1.42544,0.5396,0.31502,0.32866,0.20581,1.38738,2.05493,1.45382,0.000998741,0.000998741,0.00102695
6,1276.67,1.34582,2.09386,1.38893,0.5038,0.40371,0.38977,0.23604,1.40775,1.86215,1.44793,0.000998474,0.000998474,0.000998474
7,1471.32,1.31193,1.99444,1.36861,0.54074,0.40278,0.41578,0.24026,1.5174,1.75247,1.5319,0.000997803,0.000997803,0.000997803
8,1666.05,1.28197,1.91746,1.34152,0.55237,0.39998,0.44408,0.29834,1.33236,1.64835,1.39269,0.000997011,0.000997011,0.000997011
9,1861.08,1.25566,1.79079,1.32662,0.58197,0.44582,0.47374,0.30506,1.28563,1.53636,1.36842,0.000996097,0.000996097,0.000996097
10,2055.53,1.22803,1.73524,1.29722,0.59037,0.50434,0.49796,0.31861,1.40145,1.46854,1.40132,0.000995062,0.000995062,0.000995062
11,2249.98,1.22204,1.65824,1.2996,0.66811,0.45141,0.53175,0.36722,1.25615,1.41734,1.33262,0.000993906,0.000993906,0.000993906
12,2444.95,1.21195,1.60838,1.2921,0.58224,0.54175,0.55366,0.35181,1.34734,1.38248,1.3731,0.000992629,0.000992629,0.000992629
13,2639.01,1.18848,1.5406,1.27357,0.62016,0.56726,0.60015,0.39778,1.23098,1.25532,1.3305,0.000991232,0.000991232,0.000991232
14,2834.5,1.17697,1.494,1.26259,0.69411,0.49621,0.5645,0.35655,1.39033,1.38554,1.43071,0.000989715,0.000989715,0.000989715
15,3029,1.1859,1.46351,1.26863,0.72562,0.56071,0.63388,0.42451,1.28527,1.25655,1.34959,0.000988079,0.000988079,0.000988079
16,3223.68,1.16065,1.39359,1.25214,0.62837,0.63455,0.64059,0.42705,1.26668,1.20594,1.345,0.000986323,0.000986323,0.000986323
17,3418.2,1.15141,1.37282,1.2472,0.64777,0.59091,0.64808,0.41582,1.37272,1.27714,1.39289,0.000984449,0.000984449,0.000984449
18,3612.38,1.13201,1.30814,1.23294,0.70836,0.6293,0.65644,0.45282,1.24678,1.16705,1.31164,0.000982456,0.000982456,0.000982456
19,3807.46,1.13179,1.30448,1.23991,0.70746,0.59652,0.65279,0.45215,1.18868,1.14151,1.27064,0.000980345,0.000980345,0.000980345
20,4001.83,1.12539,1.2594,1.23119,0.72857,0.60527,0.66011,0.45083,1.2232,1.10805,1.29075,0.000978118,0.000978118,0.000978118
21,4196.12,1.12405,1.26146,1.22455,0.6903,0.67223,0.71339,0.47542,1.25567,1.05255,1.3133,0.000975773,0.000975773,0.000975773
22,4390.79,1.10069,1.22842,1.22033,0.70211,0.68313,0.68729,0.45851,1.28625,1.12906,1.33014,0.000973312,0.000973312,0.000973312
23,4585.41,1.09695,1.20801,1.22082,0.80911,0.64283,0.72085,0.47044,1.28943,1.04191,1.34795,0.000970736,0.000970736,0.000970736
24,4779.88,1.1116,1.19097,1.21837,0.70409,0.67391,0.71863,0.49159,1.2402,1.04021,1.29729,0.000968045,0.000968045,0.000968045
25,4974.92,1.08624,1.15436,1.20416,0.74716,0.68411,0.73229,0.49772,1.24811,1.01625,1.29899,0.000965239,0.000965239,0.000965239
26,5169.73,1.08094,1.13381,1.20386,0.79093,0.67452,0.73078,0.49592,1.23419,0.99949,1.28193,0.00096232,0.00096232,0.00096232
27,5364.96,1.0688,1.11535,1.19173,0.79564,0.68098,0.74839,0.49491,1.26182,0.97112,1.29756,0.000959289,0.000959289,0.000959289
28,5559.5,1.06875,1.10575,1.20241,0.79765,0.64935,0.73584,0.50608,1.17595,0.95567,1.26379,0.000956145,0.000956145,0.000956145
29,5754.11,1.06512,1.10869,1.19594,0.7775,0.68451,0.74673,0.52566,1.18302,0.96772,1.25143,0.000952889,0.000952889,0.000952889
30,5949.88,1.0604,1.05443,1.18464,0.82512,0.67136,0.79379,0.56715,1.14392,0.90573,1.23074,0.000949524,0.000949524,0.000949524
31,6145.16,1.0554,1.05706,1.18624,0.76236,0.74994,0.77991,0.53843,1.21366,0.89445,1.27213,0.000946048,0.000946048,0.000946048
32,6339.83,1.04693,1.06073,1.18077,0.79415,0.73466,0.79443,0.56398,1.14165,0.86674,1.23337,0.000942464,0.000942464,0.000942464
33,6534.54,1.03633,1.02014,1.17337,0.8195,0.71393,0.77999,0.56528,1.07366,0.84973,1.19374,0.000938772,0.000938772,0.000938772
34,6729.3,1.0349,0.99747,1.17267,0.82526,0.70577,0.77264,0.54304,1.13474,0.89887,1.2338,0.000934973,0.000934973,0.000934973
35,6923.98,1.03107,0.99266,1.1709,0.84869,0.71278,0.78844,0.56904,1.06923,0.8367,1.1882,0.000931067,0.000931067,0.000931067
36,7119.37,1.02417,0.98084,1.16229,0.79631,0.76003,0.80828,0.57722,1.12594,0.84797,1.23803,0.000927057,0.000927057,0.000927057
37,7314.26,1.01799,0.95064,1.15911,0.83697,0.74021,0.81959,0.60189,1.07132,0.8359,1.19156,0.000922942,0.000922942,0.000922942
38,7509.54,1.01758,0.9624,1.1572,0.77796,0.75404,0.80425,0.57665,1.08654,0.90472,1.19916,0.000918725,0.000918725,0.000918725
39,7704.29,1.00522,0.92408,1.15703,0.81584,0.74919,0.80316,0.5857,1.07478,0.84711,1.18883,0.000914405,0.000914405,0.000914405
40,7899.14,0.99896,0.93649,1.15139,0.81182,0.75452,0.817,0.60031,1.08262,0.82369,1.18724,0.000909984,0.000909984,0.000909984
41,8094.07,0.99052,0.92083,1.14877,0.83238,0.7405,0.80663,0.59049,1.05292,0.80162,1.18057,0.000905463,0.000905463,0.000905463
42,8289.09,0.99807,0.9187,1.14828,0.8136,0.79771,0.83316,0.59961,1.08381,0.77937,1.19198,0.000900844,0.000900844,0.000900844
43,8483.82,0.98768,0.88883,1.14044,0.85091,0.77573,0.84977,0.63044,1.06065,0.75587,1.18248,0.000896127,0.000896127,0.000896127
