epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.335,1.15198,5.68127,0.95203,0.51395,0.14358,0.12964,0.11164,1.06667,3.20861,0.88285,5.28507e-05,5.28507e-05,5.28507e-05
2,314.42,1.11225,4.36852,0.92498,0.47945,0.22514,0.21153,0.17777,1.02083,2.56804,0.89192,0.000104803,0.000104803,0.000104803
3,468.329,1.05501,3.52009,0.92809,0.57945,0.29135,0.29856,0.24551,0.97377,2.13939,0.8929,0.000155705,0.000155705,0.000155705
4,622.762,1.00363,2.90635,0.91885,0.66644,0.36426,0.39119,0.3112,0.94125,1.67552,0.89508,0.000154278,0.000154278,0.000154278
5,777.411,0.96202,2.50883,0.91067,0.61964,0.41469,0.44538,0.34929,0.9092,1.51529,0.8941,0.000152704,0.000152704,0.000152704
6,931.399,0.93983,2.2676,0.90741,0.69729,0.4257,0.46964,0.37554,0.89951,1.44025,0.89025,0.000151129,0.000151129,0.000151129
7,1086.16,0.92151,2.07447,0.90555,0.66243,0.50481,0.52437,0.42094,0.89777,1.32599,0.88889,0.000149555,0.000149555,0.000149555
8,1240.48,0.89894,1.88172,0.90067,0.71111,0.51213,0.57968,0.46527,0.85867,1.23061,0.88263,0.000147981,0.000147981,0.000147981
9,1395.12,0.8908,1.73876,0.90111,0.70369,0.53647,0.58936,0.47119,0.86847,1.22947,0.88404,0.000146407,0.000146407,0.000146407
10,1549.74,0.89335,1.61487,0.89812,0.62146,0.61979,0.61065,0.48937,0.84388,1.14892,0.88136,0.000144833,0.000144833,0.000144833
11,1703.84,0.87352,1.54277,0.89552,0.775,0.55861,0.63667,0.5082,0.85338,1.14644,0.88208,0.000143259,0.000143259,0.000143259
12,1857.83,0.87366,1.46041,0.89578,0.78064,0.57143,0.64161,0.51516,0.84317,1.10238,0.88232,0.000141685,0.000141685,0.000141685
13,2011.98,0.87131,1.39568,0.89342,0.76035,0.62734,0.67051,0.54057,0.84256,1.08573,0.88179,0.000140111,0.000140111,0.000140111
14,2166.65,0.85628,1.32016,0.89067,0.79184,0.61574,0.68004,0.54574,0.83551,1.04332,0.87591,0.000138537,0.000138537,0.000138537
15,2320.58,0.86235,1.27631,0.89076,0.74016,0.62309,0.69869,0.56313,0.82241,1.03506,0.87573,0.000136963,0.000136963,0.000136963
16,2474.49,0.85331,1.20216,0.88758,0.71185,0.67359,0.70265,0.56902,0.82007,0.9966,0.87083,0.000135388,0.000135388,0.000135388
17,2628.62,0.84809,1.18185,0.89103,0.80059,0.64954,0.72522,0.58958,0.80981,0.97692,0.87135,0.000133814,0.000133814,0.000133814
18,2783.63,0.83906,1.11657,0.8887,0.75434,0.68749,0.72386,0.58375,0.82025,0.97418,0.87374,0.00013224,0.00013224,0.00013224
19,2937.68,0.84502,1.09065,0.8887,0.81496,0.68187,0.74054,0.59447,0.80862,0.91169,0.87118,0.000130666,0.000130666,0.000130666
20,3091.81,0.83085,1.06838,0.88376,0.86083,0.66697,0.76515,0.61793,0.81757,0.97599,0.87424,0.000129092,0.000129092,0.000129092
21,3246.5,0.83452,1.04035,0.88915,0.7934,0.6894,0.75635,0.61386,0.80419,0.90756,0.86991,0.000127518,0.000127518,0.000127518
22,3400.55,0.82458,0.99052,0.88699,0.78662,0.69222,0.75214,0.61378,0.81036,0.88765,0.87426,0.000125944,0.000125944,0.000125944
23,3554.78,0.82726,0.96676,0.88792,0.80649,0.68532,0.76661,0.61893,0.80516,0.90166,0.86945,0.00012437,0.00012437,0.00012437
24,3708.39,0.8239,0.93478,0.88349,0.85793,0.66499,0.74559,0.60228,0.8021,0.90732,0.86928,0.000122796,0.000122796,0.000122796
